part_num,color_id,part_name,part_cat_id,part_material,part_cat_name,color_name,rgb,is_trans,quantity,have_image
48379c01,0,Sports Promo Figure Base with Feet,27,Plastic,Minifig Accessories,Black,05131D,f,1,f
paddle,0,Sports Promo Paddle from McDonald's Sports Sets,27,Plastic,Minifig Accessories,Black,05131D,f,1,f
2343,0,Equipment Goblet,27,Plastic,Minifig Accessories,Black,05131D,f,63,t
30089a,0,Equipment Camera Handheld with Right-Aligned Viewfinder,27,Plastic,Minifig Accessories,Black,05131D,f,42,t
30162,0,Equipment Binoculars,27,Plastic,Minifig Accessories,Black,05131D,f,42,t
30191,0,Equipment Stretcher Holder,27,Rubber,Minifig Accessories,Black,05131D,f,5,t
30340,0,Equipment Flotation Ring [Life Preserver],27,Plastic,Minifig Accessories,Black,05131D,f,22,t
3962b,0,"Equipment Radio [Extended Handle, Compact Speaker Grille]",27,Plastic,Minifig Accessories,Black,05131D,f,394,t
4599a,0,Tap 1 x 1 with Hole in Spout,27,Plastic,Minifig Accessories,Black,05131D,f,231,t
59275,0,Minifig Footwear Flipper [Thin],27,Plastic,Minifig Accessories,Black,05131D,f,96,t
2447,0,Headwear Accessory Visor For Standard Helmet,27,Plastic,Minifig Accessories,Black,05131D,f,146,t
3900,0,Equipment Signal Paddle,27,Plastic,Minifig Accessories,Black,05131D,f,16,t
93555,0,Sports Ice Skate,27,Plastic,Minifig Accessories,Black,05131D,f,9,t
3837,0,Equipment Shovel [Round Stem End],27,Plastic,Minifig Accessories,Black,05131D,f,93,t
4332,0,Equipment Brush / Broom,27,Plastic,Minifig Accessories,Black,05131D,f,43,t
4341,0,Equipment Pot / Cauldron 3 x 3 x 1 & 3/4 with Handles,27,Plastic,Minifig Accessories,Black,05131D,f,54,t
64647,0,Headwear Accessory Plume / Feather Triple Point,27,Plastic,Minifig Accessories,Black,05131D,f,3,t
3835,0,Weapon Axe,27,Plastic,Minifig Accessories,Black,05131D,f,189,t
4006,0,Tool Screwdriver and Spanner / Wrench,27,Plastic,Minifig Accessories,Black,05131D,f,468,t
4522,0,Tool Hammer / Mallet Large,27,Plastic,Minifig Accessories,Black,05131D,f,292,t
3959,0,Weapon Gun / Torch (Space) [with Grooves],27,Plastic,Minifig Accessories,Black,05131D,f,208,t
4349,0,"Equipment, Weapon, Loudhailer / Blaster / Space Gun",27,Plastic,Minifig Accessories,Black,05131D,f,464,t
4360,0,Equipment Camera with Side Sight [aka Space Gun],27,Plastic,Minifig Accessories,Black,05131D,f,199,t
4479,0,Equipment Metal Detector,27,Plastic,Minifig Accessories,Black,05131D,f,22,t
30152pat0001,0,Equipment Magnifying Glass with Thin Frame and Hollow Handle with Trans-Clear Lens,27,Plastic,Minifig Accessories,Black,05131D,f,42,f
30154,0,Equipment Sextant,27,Plastic,Minifig Accessories,Black,05131D,f,13,t
33009,0,Book 2 x 3 [Plain],27,Plastic,Minifig Accessories,Black,05131D,f,2,t
3849,0,Weapon Lance,27,Plastic,Minifig Accessories,Black,05131D,f,185,t
4528,0,Equipment Frying Pan,27,Plastic,Minifig Accessories,Black,05131D,f,170,t
11610,0,Food Ice Cream Cone,27,Plastic,Minifig Accessories,Black,05131D,f,94,t
4599b,0,Tap 1 x 1 without Hole in Spout,27,Plastic,Minifig Accessories,Black,05131D,f,569,t
58247,0,Weapon Gun / Blaster Short (Star Wars),27,Plastic,Minifig Accessories,Black,05131D,f,457,t
61190c,0,Headwear Accessory Visor (Star Wars Clone Trooper),27,Plastic,Minifig Accessories,Black,05131D,f,4,t
63586,0,"Headwear Accessory Rangefinder for Helmet, with Holes (Star Wars Clone Trooper)",27,Plastic,Minifig Accessories,Black,05131D,f,7,t
64567,0,Weapon Lightsaber Hilt with Bottom Ring,27,Plastic,Minifig Accessories,Black,05131D,f,591,t
64644,0,Equipment Telescope,27,Plastic,Minifig Accessories,Black,05131D,f,643,t
92738,0,Weapon Gun / Blaster Small (Star Wars),27,Plastic,Minifig Accessories,Black,05131D,f,240,t
95199,0,Weapon Gun / Pistol Two Barrel,27,Plastic,Minifig Accessories,Black,05131D,f,56,t
30228,0,Tool Jackhammer / Motor Hammer,27,Plastic,Minifig Accessories,Black,05131D,f,2,t
2516,0,Tool Chainsaw / Drill Body,27,Plastic,Minifig Accessories,Black,05131D,f,40,t
55295,0,Tool Hammer Cross Pein [6-Rib Handle],27,Plastic,Minifig Accessories,Black,05131D,f,59,t
55296,0,Tool Oil Can [Smooth Handle],27,Plastic,Minifig Accessories,Black,05131D,f,59,t
55297,0,"Tool Drill, Electric",27,Plastic,Minifig Accessories,Black,05131D,f,59,t
55298,0,Tool Screwdriver with Narrow Head [6-Rib Handle],27,Plastic,Minifig Accessories,Black,05131D,f,59,t
55299,0,Tool Wrench / Spanner Open End [6-Rib Handle],27,Plastic,Minifig Accessories,Black,05131D,f,59,t
55300,0,"Tool Wrench / Spanner, Box [6-Rib Handle]",27,Plastic,Minifig Accessories,Black,05131D,f,59,t
2526,0,Minifig Neckwear Epaulette,27,Plastic,Minifig Accessories,Black,05131D,f,5,t
30132,0,Weapon Gun / Pistol / Revolver Large Barrel [Old Style],27,Plastic,Minifig Accessories,Black,05131D,f,2,t
30170,0,Headwear Accessory Glasses / Goggles,27,Plastic,Minifig Accessories,Black,05131D,f,33,t
4449,0,Bag / Briefcase,27,Plastic,Minifig Accessories,Black,05131D,f,118,t
88704,0,Equipment Whip - Bent,27,Plastic,Minifig Accessories,Black,05131D,f,86,t
30035,0,Equipment Space Scanner,27,Plastic,Minifig Accessories,Black,05131D,f,39,t
2570,0,Weapon Crossbow and Bolt,27,Plastic,Minifig Accessories,Black,05131D,f,1,t
60849,0,Equipment Hose Nozzle with Side String Hole Simplified,27,Plastic,Minifig Accessories,Black,05131D,f,317,t
85973,0,Weapon Gun / Pistol [Automatic Long Barrel and Round Magazine],27,Plastic,Minifig Accessories,Black,05131D,f,28,t
3962a,0,Equipment Radio [Compact Handle],27,Plastic,Minifig Accessories,Black,05131D,f,172,t
30152pat0003,0,Equipment Magnifying Glass with Thin Frame and Hollow Handle with Trans-Red Lens,27,Plastic,Minifig Accessories,Black,05131D,f,3,f
11253,0,Sports Roller Skate,27,Plastic,Minifig Accessories,Black,05131D,f,195,t
2488,0,Equipment Whip [aka Plant Vine],27,Plastic,Minifig Accessories,Black,05131D,f,89,t
30488,0,Sports Soccer Minifig Stand,27,Plastic,Minifig Accessories,Black,05131D,f,3,t
30488c01,0,Sports Soccer Minifig Stand with Spring and Green Pin [Complete Assembly],27,Plastic,Minifig Accessories,Black,05131D,f,83,f
30493,0,Sports Soccer Goalie Stick,27,Plastic,Minifig Accessories,Black,05131D,f,31,f
62808,0,Equipment Key,27,Plastic,Minifig Accessories,Black,05131D,f,2,t
92585,0,Tool Crowbar,27,Plastic,Minifig Accessories,Black,05131D,f,37,t
4523,0,Minifig Neckwear Basket [D Style],27,Plastic,Minifig Accessories,Black,05131D,f,6,t
12885,0,Equipment Paint Roller Brush Handle Edge On Handle,27,Plastic,Minifig Accessories,Black,05131D,f,56,t
33078,0,Food Hot Dog / Sausage,27,Plastic,Minifig Accessories,Black,05131D,f,43,t
32008,0,Technic Figure Scuba Flipper,27,Plastic,Minifig Accessories,Black,05131D,f,4,t
30089b,0,Equipment Camera Handheld with Central Viewfinder,27,Plastic,Minifig Accessories,Black,05131D,f,176,t
93106,0,"Equipment Metal Detector, no Stud on Search Head",27,Plastic,Minifig Accessories,Black,05131D,f,18,t
4497,0,Weapon Pike / Spear Round End,27,Plastic,Minifig Accessories,Black,05131D,f,156,t
15071,0,Weapon Gun / Blaster 1 x 2 x 2/3 with Studs on Sides and Handle,27,Plastic,Minifig Accessories,Black,05131D,f,73,t
6256,0,Equipment Dish / Plate / Bowl 3 x 3 [Plain],27,Plastic,Minifig Accessories,Black,05131D,f,4,t
53454,0,"Weapon Axe Head, Clip-on (Viking) [Thick Clip]",27,Plastic,Minifig Accessories,Black,05131D,f,7,t
57899,0,Weapon Gun / Blaster Long (Star Wars),27,Plastic,Minifig Accessories,Black,05131D,f,137,t
93789,0,Weapon Pike / Spear Flat End,27,Plastic,Minifig Accessories,Black,05131D,f,35,t
61482,0,Equipment Handcuffs,27,Plastic,Minifig Accessories,Black,05131D,f,33,t
90370pr0001,0,Musical Instrument Microphone with Metallic Silver Top Print,27,Plastic,Minifig Accessories,Black,05131D,f,22,f
